text,predicted_label
"Twin tragedies push NDA to rethink rigour Two recent deaths at the National Defence Academy (NDA) have sparked urgent introspection into cadet selection and training. The tragic loss of two first-term cadets, one by suicide and another in a drowning incident, highlights immense adjustment pressures. Experts call for systemic reforms in physical and psychological assessments to ensure cadet safety without compromising toughness.",Positive
Traveling to Taiwan Just Got More Convenient with Singapore Airlines’ New Flight Expansion Between Singapore and Taipei – Here’s What You Need to Know Traveling to Taiwan Just Got More Convenient with Singapore Airlines’ New Flight Expansion Between Singapore and Taipei – Here’s What You Need to KnowSingapore Airlines announces additional flights to Taiwan from February to May 2026. New Airbus and Boeing aircraft will increase travel capacity for peak season.The post Traveling to Taiwan Just Got More Convenient with Singapore Airlines’ New Flight Expansion Between Singapore and Taipei – Here’s What You Need to Know appeared first on Travel And Tour World.,Positive
Centre has no intention of presenting any Bill on Chandigarh's administration in Winter session of Parliament: MHA. Centre has no intention of presenting any Bill on Chandigarhs administration in Winter session of Parliament MHA,Positive
"India’s Big G20 Move: PM Modi Announces ACITI Partnership With Australia, Canada To Boost Tech, Clean Energy, AI Cooperation PM Modi G20,ACITI Partnership,India Australia Canada tech partnership,clean energy cooperation,critical minerals,AI collaboration,trilateral tech agreement,Modi Albanese Carney meeting,G20 Johannesburg,India Canada relations,emerging technologies initiative,supply chain diversification.",Positive
How eSIMs Are Changing the Way We Travel Find out how eSIMs are changing the nature of our traveling experience. Experience real-time global connectivity with less hassle when working remotely.,Positive
Man suffers life-threatening burns after light-plane crash in Central Queensland A man has suffered life-threatening burns in a light-plane crash in Central Queensland.,Positive
Raglan: Man suffers life-threatening burns after light-plane crash in Central Queensland A man has suffered life-threatening burns in a light-plane crash in Central Queensland.,Positive
"DeWitt explodes for 34 second-half points to knock off Warren De La Salle Traverse Moore took matters into his own hands Saturday afternoon.Or should we say feet.Moore, a senior quarterback from DeWitt, directed the Panthers’ Wing T offense to perfection, rushing for 263 yards in the second half alone in helping top-ranked DeWitt remain undefeated on the year with a 41-20 victory over unranked Warren De La Salle in a Division 3 state semifinals clash at Grand Blanc’s Don Batchelor Stadium",Positive
Man suffers life-threatening burns after light-plane crash in Central Queensland A man has suffered life-threatening burns in a light-plane crash in Central Queensland.,Positive
Injuries at running back give Bryson Kuzdzal a chance to shine for No. 18 Michigan vs. Maryland Michigan went further down the depth chart at running back — and still produced a 100-yard rusher.,Positive
